Source,Target,Type,Id,Label,timeset,Weight
33041672,1758605429,Undirected,81332,,,1
36547923,1202988976,Undirected,81333,,,1
38224610,1004527584,Undirected,81334,,,1
38506439,1202988976,Undirected,81335,,,1
38527216,1005280116,Undirected,81336,,,1
38527216,1500077648,Undirected,81337,,,1
52065128,1001976122,Undirected,81338,,,1
52693578,1252711620,Undirected,81339,,,1
54281037,1337884933,Undirected,81340,,,2
59632560,1339291862,Undirected,81341,,,1
66599215,1001976122,Undirected,81342,,,1
66599215,1002062924,Undirected,81343,,,1
66599215,1002249912,Undirected,81344,,,1
66599215,1002738390,Undirected,81345,,,1
66599215,1002739327,Undirected,81346,,,1
66599215,1004128493,Undirected,81347,,,7
66599215,1005280116,Undirected,81348,,,1
66599215,1005665139,Undirected,81349,,,6
66599215,1006263686,Undirected,81350,,,1
66599215,1006939659,Undirected,81351,,,1
66599215,1007007698,Undirected,81352,,,2
66599215,1007883087,Undirected,81353,,,1
66599215,1008702726,Undirected,81354,,,2
66599215,1012687880,Undirected,81355,,,1
66599215,1071804086,Undirected,81356,,,1
66599215,1086482465,Undirected,81357,,,1
66599215,1101568666,Undirected,81358,,,1
66599215,1215355989,Undirected,81359,,,2
66599215,1233226069,Undirected,81360,,,1
66599215,1367035239,Undirected,81361,,,1
66599215,1478116506,Undirected,81362,,,1
66599215,1561020337,Undirected,81363,,,2
68239434,1057213883,Undirected,81364,,,1
68471448,1202988976,Undirected,81365,,,1
82013254,1339291862,Undirected,81366,,,1
86654197,1006212930,Undirected,81367,,,1
86654197,1006408767,Undirected,81368,,,1
86654197,1006939659,Undirected,81369,,,2
86654197,1007884158,Undirected,81370,,,1
86654197,1050356598,Undirected,81371,,,1
86654197,1211374999,Undirected,81372,,,1
87133865,1416744500,Undirected,81373,,,1
88449818,1368575513,Undirected,81374,,,1
92170385,1001976122,Undirected,81375,,,1
93217622,1339291862,Undirected,81376,,,1
94563153,1005816243,Undirected,81377,,,1
95893630,1002807789,Undirected,81378,,,1
98510961,1200615912,Undirected,81379,,,1
101276953,1006165084,Undirected,81380,,,1
102238132,1202988976,Undirected,81381,,,1
104526406,1069291200,Undirected,81382,,,1
104526406,1106958042,Undirected,81383,,,1
105324929,1008041509,Undirected,81384,,,1
106749690,1418721435,Undirected,81385,,,1
111183483,1004128493,Undirected,81386,,,1
113595614,1042027759,Undirected,81387,,,1
114381652,1003921158,Undirected,81388,,,1
117160073,1169263609,Undirected,81389,,,1
118286165,1231113450,Undirected,81390,,,1
119261418,1004128493,Undirected,81391,,,1
127954182,1001621611,Undirected,81392,,,1
129079785,94563153,Undirected,81393,,,1
129079785,1000039922,Undirected,81394,,,1
129079785,1000960164,Undirected,81395,,,1
129079785,1001127845,Undirected,81396,,,2
129079785,1001621611,Undirected,81397,,,1
129079785,1002393437,Undirected,81398,,,1
129079785,1002531766,Undirected,81399,,,1
129079785,1002688148,Undirected,81400,,,2
129079785,1004128493,Undirected,81401,,,4
129079785,1004420482,Undirected,81402,,,2
129079785,1004498091,Undirected,81403,,,1
129079785,1004576149,Undirected,81404,,,1
129079785,1004635542,Undirected,81405,,,1
129079785,1005036683,Undirected,81406,,,1
129079785,1005665139,Undirected,81407,,,1
129079785,1006165084,Undirected,81408,,,4
129079785,1006212930,Undirected,81409,,,3
129079785,1006263686,Undirected,81410,,,1
129079785,1006939659,Undirected,81411,,,1
129079785,1007007698,Undirected,81412,,,2
129079785,1007205132,Undirected,81413,,,2
129079785,1007884158,Undirected,81414,,,1
129079785,1007936468,Undirected,81415,,,1
129079785,1008041509,Undirected,81416,,,1
129079785,1008101806,Undirected,81417,,,1
129079785,1009415043,Undirected,81418,,,1
129079785,1013336404,Undirected,81419,,,1
129079785,1052099383,Undirected,81420,,,1
129079785,1055892778,Undirected,81421,,,1
129079785,1056319370,Undirected,81422,,,1
129079785,1056376286,Undirected,81423,,,1
129079785,1061684141,Undirected,81424,,,1
129079785,1068487996,Undirected,81425,,,1
129079785,1071804086,Undirected,81426,,,1
129079785,1072898425,Undirected,81427,,,1
129079785,1075134228,Undirected,81428,,,1
129079785,1078952127,Undirected,81429,,,1
129079785,1092400246,Undirected,81430,,,2
129079785,1106958042,Undirected,81431,,,2
129079785,1131575109,Undirected,81432,,,1
129079785,1132277063,Undirected,81433,,,1
129079785,1133702982,Undirected,81434,,,1
129079785,1140394567,Undirected,81435,,,2
129079785,1144469249,Undirected,81436,,,1
129079785,1153794295,Undirected,81437,,,1
129079785,1154252621,Undirected,81438,,,2
129079785,1174911254,Undirected,81439,,,1
129079785,1201491778,Undirected,81440,,,1
129079785,1202988976,Undirected,81441,,,3
129079785,1207282516,Undirected,81442,,,1
129079785,1212387582,Undirected,81443,,,3
129079785,1221856285,Undirected,81444,,,2
129079785,1231709496,Undirected,81445,,,1
129079785,1255749462,Undirected,81446,,,1
129079785,1266511682,Undirected,81447,,,1
129079785,1267178068,Undirected,81448,,,3
129079785,1297666994,Undirected,81449,,,1
129079785,1337411875,Undirected,81450,,,2
129079785,1339291862,Undirected,81451,,,1
129079785,1343771313,Undirected,81452,,,1
129079785,1350233630,Undirected,81453,,,1
129079785,1352244174,Undirected,81454,,,1
129079785,1362541557,Undirected,81455,,,2
129079785,1367035239,Undirected,81456,,,1
129079785,1368575513,Undirected,81457,,,2
129079785,1375877854,Undirected,81458,,,1
129079785,1385292826,Undirected,81459,,,2
129079785,1395654240,Undirected,81460,,,2
129079785,1410147237,Undirected,81461,,,1
129079785,1414437209,Undirected,81462,,,1
129079785,1417849165,Undirected,81463,,,3
129079785,1419791442,Undirected,81464,,,1
129079785,1428125510,Undirected,81465,,,2
129079785,1435146429,Undirected,81466,,,2
129079785,1445349980,Undirected,81467,,,1
129079785,1448090168,Undirected,81468,,,1
129079785,1449372164,Undirected,81469,,,1
129079785,1488860935,Undirected,81470,,,1
129079785,1599373907,Undirected,81471,,,1
130513832,1291097156,Undirected,81472,,,1
131910470,1106958042,Undirected,81473,,,1
132101701,1202988976,Undirected,81474,,,1
138023960,1281835623,Undirected,81475,,,1
159722278,1385292826,Undirected,81476,,,1
163397312,1004635542,Undirected,81477,,,1
163919913,1001976122,Undirected,81478,,,1
167835256,1002541184,Undirected,81479,,,1
170507303,1169263609,Undirected,81480,,,1
178294475,1168986258,Undirected,81481,,,1
178294475,1486437479,Undirected,81482,,,1
179683204,1202988976,Undirected,81483,,,1
188591984,1001156199,Undirected,81484,,,1
191243967,1001976122,Undirected,81485,,,1
191243967,1002249912,Undirected,81486,,,1
191243967,1004293732,Undirected,81487,,,1
191243967,1006227643,Undirected,81488,,,1
191243967,1006263686,Undirected,81489,,,1
191243967,1006597261,Undirected,81490,,,1
191243967,1023743835,Undirected,81491,,,1
191243967,1074253737,Undirected,81492,,,1
191243967,1086482465,Undirected,81493,,,1
191243967,1215355989,Undirected,81494,,,1
191243967,1252261785,Undirected,81495,,,1
191243967,1264369151,Undirected,81496,,,1
191243967,1333872641,Undirected,81497,,,1
191243967,1445349980,Undirected,81498,,,1
199052979,1410147237,Undirected,81499,,,1
200389711,1002670105,Undirected,81500,,,1
200389711,1006263686,Undirected,81501,,,2
200389711,1006348432,Undirected,81502,,,1
200389711,1006914438,Undirected,81503,,,1
200389711,1007205132,Undirected,81504,,,4
200389711,1007884158,Undirected,81505,,,1
200389711,1008041509,Undirected,81506,,,1
200389711,1008702726,Undirected,81507,,,1
200389711,1009106817,Undirected,81508,,,1
200389711,1024694174,Undirected,81509,,,1
200389711,1084788203,Undirected,81510,,,3
200389711,1130196213,Undirected,81511,,,1
200389711,1136435312,Undirected,81512,,,2
200389711,1161037268,Undirected,81513,,,2
200389711,1251968553,Undirected,81514,,,1
200389711,1333872641,Undirected,81515,,,1
200389711,1339291862,Undirected,81516,,,1
200389711,1364560052,Undirected,81517,,,3
200389711,1373142723,Undirected,81518,,,4
200389711,1406462050,Undirected,81519,,,1
200389711,1410147237,Undirected,81520,,,1
200389711,1419791442,Undirected,81521,,,1
200389711,1443574986,Undirected,81522,,,1
200389711,1449372164,Undirected,81523,,,1
201937931,1074253737,Undirected,81524,,,1
202904239,1069291200,Undirected,81525,,,1
224971281,1001170974,Undirected,81526,,,1
224971281,1006165084,Undirected,81527,,,1
224971281,1068152835,Undirected,81528,,,1
224971281,1215798924,Undirected,81529,,,1
249370840,1008702726,Undirected,81530,,,1
251548276,1006227643,Undirected,81531,,,1
316550671,1252551273,Undirected,81532,,,1
316550671,1286006168,Undirected,81533,,,1
316550671,1472215947,Undirected,81534,,,1
343249035,1228946795,Undirected,81535,,,1
371099679,1000713718,Undirected,81536,,,1
371099679,1002670105,Undirected,81537,,,2
371099679,1005888971,Undirected,81538,,,2
371099679,1006914438,Undirected,81539,,,1
371099679,1068805698,Undirected,81540,,,1
371099679,1115766373,Undirected,81541,,,1
371099679,1178735091,Undirected,81542,,,2
371099679,1202988976,Undirected,81543,,,2
371099679,1217315373,Undirected,81544,,,2
371099679,1264444744,Undirected,81545,,,1
371099679,1349197262,Undirected,81546,,,2
371099679,1368575513,Undirected,81547,,,1
395365604,1052643009,Undirected,81548,,,1
398332995,1046996332,Undirected,81549,,,1
415529363,1441619120,Undirected,81550,,,1
417165542,1339291862,Undirected,81551,,,1
466006532,1036382356,Undirected,81552,,,1
480522211,1022472798,Undirected,81553,,,1
518261853,1232867001,Undirected,81554,,,1
523842855,1005280116,Undirected,81555,,,1
544599399,1202988976,Undirected,81556,,,2
557902132,1276462847,Undirected,81557,,,1
563911806,1050977352,Undirected,81558,,,1
563911806,1062062882,Undirected,81559,,,1
563911806,1078952127,Undirected,81560,,,3
563911806,1348198224,Undirected,81561,,,1
563911806,1410147237,Undirected,81562,,,1
563911806,1495566787,Undirected,81563,,,1
582192144,1481507887,Undirected,81564,,,1
610694109,1009135106,Undirected,81565,,,1
628044193,1114230499,Undirected,81566,,,1
638453664,1008702726,Undirected,81567,,,1
659886491,1068805698,Undirected,81568,,,2
662148930,1069291200,Undirected,81569,,,1
695992412,1001170974,Undirected,81570,,,1
695992412,1004128493,Undirected,81571,,,3
695992412,1006212930,Undirected,81572,,,1
695992412,1006263686,Undirected,81573,,,1
695992412,1280492884,Undirected,81574,,,1
718282745,1068152835,Undirected,81575,,,1
761108219,1119643165,Undirected,81576,,,1
773232741,1074253737,Undirected,81577,,,1
828133799,1006212930,Undirected,81578,,,1
828133799,1129407473,Undirected,81579,,,1
828133799,1154252621,Undirected,81580,,,1
828133799,1462815219,Undirected,81581,,,1
841818783,1006379087,Undirected,81582,,,1
860772047,1027676885,Undirected,81583,,,1
867197037,1004635542,Undirected,81584,,,1
867197037,1006165084,Undirected,81585,,,1
887216200,1006939659,Undirected,81586,,,1
920107915,1007167724,Undirected,81587,,,1
920107915,1368575513,Undirected,81588,,,1
1000013956,1004846882,Undirected,81589,,,1
1000013956,1460507926,Undirected,81590,,,1
1000014928,1228946795,Undirected,81591,,,2
1000018594,1001156199,Undirected,81592,,,1
1000018594,1001329261,Undirected,81593,,,1
1000018594,1001976122,Undirected,81594,,,3
1000018594,1002062924,Undirected,81595,,,1
1000018594,1002483751,Undirected,81596,,,2
1000018594,1002738390,Undirected,81597,,,1
1000018594,1002739327,Undirected,81598,,,4
1000018594,1002765601,Undirected,81599,,,2
1000018594,1002904936,Undirected,81600,,,1
1000018594,1004128493,Undirected,81601,,,6
1000018594,1004576149,Undirected,81602,,,1
1000018594,1004793780,Undirected,81603,,,2
1000018594,1005280116,Undirected,81604,,,1
1000018594,1005665139,Undirected,81605,,,7
1000018594,1006058128,Undirected,81606,,,1
1000018594,1006227643,Undirected,81607,,,4
1000018594,1006914438,Undirected,81608,,,8
1000018594,1007007698,Undirected,81609,,,2
1000018594,1007542449,Undirected,81610,,,1
1000018594,1007883087,Undirected,81611,,,1
1000018594,1007884158,Undirected,81612,,,1
1000018594,1041071792,Undirected,81613,,,1
1000018594,1050921798,Undirected,81614,,,2
1000018594,1055285231,Undirected,81615,,,1
1000018594,1058667053,Undirected,81616,,,2
1000018594,1069291200,Undirected,81617,,,5
1000018594,1074370071,Undirected,81618,,,2
1000018594,1086482465,Undirected,81619,,,3
1000018594,1097819934,Undirected,81620,,,1
1000018594,1099276446,Undirected,81621,,,1
1000018594,1123320378,Undirected,81622,,,1
1000018594,1134460826,Undirected,81623,,,1
1000018594,1147154320,Undirected,81624,,,1
1000018594,1184539650,Undirected,81625,,,1
1000018594,1203061519,Undirected,81626,,,1
1000018594,1209416661,Undirected,81627,,,1
1000018594,1215355989,Undirected,81628,,,3
1000018594,1221856285,Undirected,81629,,,1
1000018594,1233226069,Undirected,81630,,,1
1000018594,1237236083,Undirected,81631,,,1
1000018594,1241282710,Undirected,81632,,,1
1000018594,1246411029,Undirected,81633,,,2
1000018594,1252551273,Undirected,81634,,,1
1000018594,1266511682,Undirected,81635,,,2
1000018594,1283733638,Undirected,81636,,,1
1000018594,1305838288,Undirected,81637,,,1
1000018594,1326947708,Undirected,81638,,,1
1000018594,1377594379,Undirected,81639,,,1
1000018594,1386985395,Undirected,81640,,,2
1000018594,1426783083,Undirected,81641,,,1
1000018594,1443574986,Undirected,81642,,,1
1000018594,1445349980,Undirected,81643,,,1
1000018594,1481578235,Undirected,81644,,,2
1000018594,1496273363,Undirected,81645,,,2
1000018594,1497125862,Undirected,81646,,,1
1000018594,1497446976,Undirected,81647,,,1
1000029837,1005338558,Undirected,81648,,,1
1000030039,1005338558,Undirected,81649,,,1
1000039922,1002531766,Undirected,81650,,,1
1000039922,1002765601,Undirected,81651,,,1
1000039922,1004929434,Undirected,81652,,,1
1000039922,1005098932,Undirected,81653,,,1
1000039922,1005280116,Undirected,81654,,,2
1000039922,1005866359,Undirected,81655,,,1
1000039922,1006914438,Undirected,81656,,,2
1000039922,1007205132,Undirected,81657,,,3
1000039922,1007883087,Undirected,81658,,,1
1000039922,1007884158,Undirected,81659,,,1
1000039922,1007936468,Undirected,81660,,,5
1000039922,1008041509,Undirected,81661,,,1
1000039922,1013336404,Undirected,81662,,,1
1000039922,1022472798,Undirected,81663,,,1
1000039922,1106958042,Undirected,81664,,,2
1000039922,1132277063,Undirected,81665,,,1
1000039922,1141796002,Undirected,81666,,,1
1000039922,1181007490,Undirected,81667,,,2
1000039922,1182363378,Undirected,81668,,,1
1000039922,1194668474,Undirected,81669,,,1
1000039922,1202052516,Undirected,81670,,,1
1000039922,1202988976,Undirected,81671,,,1
1000039922,1211212194,Undirected,81672,,,1
1000039922,1221856285,Undirected,81673,,,1
1000039922,1228946795,Undirected,81674,,,1
1000039922,1232035192,Undirected,81675,,,1
1000039922,1232941545,Undirected,81676,,,1
1000039922,1249113672,Undirected,81677,,,1
1000039922,1260329555,Undirected,81678,,,2
1000039922,1269535292,Undirected,81679,,,1
1000039922,1301740528,Undirected,81680,,,3
1000039922,1303415556,Undirected,81681,,,1
1000039922,1305871404,Undirected,81682,,,2
1000039922,1337411875,Undirected,81683,,,3
1000039922,1384399167,Undirected,81684,,,1
1000039922,1385292826,Undirected,81685,,,2
1000039922,1690176581,Undirected,81686,,,1
1000069857,1005665139,Undirected,81687,,,1
1000077632,1002062924,Undirected,81688,,,1
1000077632,1005665139,Undirected,81689,,,1
1000077632,1013336404,Undirected,81690,,,1
1000077632,1016512199,Undirected,81691,,,1
1000077632,1130196213,Undirected,81692,,,2
1000078989,1005665139,Undirected,81693,,,1
1000078989,1006436400,Undirected,81694,,,1
1000078989,1058667053,Undirected,81695,,,1
1000089698,1002249912,Undirected,81696,,,2
1000089698,1002670105,Undirected,81697,,,2
1000089698,1004135749,Undirected,81698,,,1
1000089698,1005280116,Undirected,81699,,,1
1000089698,1006058128,Undirected,81700,,,1
1000089698,1006227643,Undirected,81701,,,1
1000089698,1006914438,Undirected,81702,,,3
1000089698,1035099694,Undirected,81703,,,2
1000089698,1069291200,Undirected,81704,,,4
1000089698,1151473069,Undirected,81705,,,1
1000089698,1203379168,Undirected,81706,,,1
1000089698,1233226069,Undirected,81707,,,1
1000089698,1390549884,Undirected,81708,,,1
1000130735,1000075602,Undirected,81709,,,1
1000130735,1012708428,Undirected,81710,,,1
1000130735,1051300650,Undirected,81711,,,1
1000130735,1058011612,Undirected,81712,,,5
1000130735,1068805698,Undirected,81713,,,1
1000130735,1069984574,Undirected,81714,,,1
1000130735,1136435312,Undirected,81715,,,2
1000133500,1000535320,Undirected,81716,,,1
1000133500,1002373496,Undirected,81717,,,1
1000133500,1006212930,Undirected,81718,,,1
