Id,Label,timeset,count,views,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,eigencentrality
1252977632,ghalamtalkh,,44,0,0,3,3,3,0.5,0.576923,0,0,0.034316,0.000085,0
1253597725,TikTakTvs,,50,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1253620516,ThePantomim,,79,0,0,4,4,3,0.541667,0.628205,0,0,0.020909,0.000085,0
1253810975,Dihemt,,2,0,0,1,1,4,0.35,0.39881,0,0,0,0.000085,0
1254089270,Tipester_Bet,,107,312,2,1,3,1,1,1,0,0,0,0.000807,0.001503
1254243729,BAND_W_BASTA,,141,0,0,8,8,4,0.466667,0.557143,0,0,0.033352,0.000085,0
1254441880,Real_Madrid_Tweets,,67,0,0,4,4,4,0.393258,0.461905,0,0,0.005592,0.000085,0
1254482092,film_nights,,74,0,0,7,7,5,0.324074,0.441429,0,0,0.002092,0.000085,0
1254826427,guzpalang,,51,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1254978547,ShomBoLySm,,3,0,0,1,1,1,1,1,0,0,0.00001,0.000085,0
1255080584,ABI_ESTEGHLAL4,,43,0,0,5,5,5,0.411765,0.486667,0,0,0.027587,0.000085,0
1255621296,saat_khooshi,,59,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1255698810,zano_shohar1,,92,0,0,3,3,3,0.5,0.576923,0,0,0.027326,0.000085,0
1255739013,longi3oz,,60,0,0,3,3,1,1,1,0,0,0.000226,0.000085,0
1255939546,Film_irani_100,,77,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1255990976,FutbaIlplus,,130,0,0,2,2,2,0.75,0.833333,0,0,0.000128,0.000085,0
1256612600,varzesh_irantv3,,60,0,0,3,3,1,1,1,0,0,0.000226,0.000085,0
1256832187,luxury_baash,,36,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1257043631,persiansbarca,,1,1699,1,0,1,0,0,0,0,0,0,0.000157,0.000696
1257145528,Official_Tex,,1,0,0,1,1,1,1,1,0,0,0,0.000085,0
1257643976,Dau3in,,159,0,0,6,6,5,0.315315,0.42,0,0,0.002075,0.000085,0
1257827992,pinkiam,,26,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
